procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 372156  31520 431984    0    0     0     0 2731  497 10 17 74  0  0
 1  0    512 372156  31520 431984    0    0     0     0 2842  725 12 15 73  0  0
 1  0    512 372156  31528 431976    0    0     0    24 2797  631  8 18 74  0  0
 2  0    512 372156  31528 431976    0    0     0     0 2946  884  9 18 73  0  0
 1  0    512 372156  31528 431976    0    0     0     0 2837  699  9 17 74  0  0
 1  0    512 372156  31528 431976    0    0     0     0 2691  457  8 17 75  0  0
 1  0    512 372156  31528 431976    0    0     0     0 2678  434  8 17 75  0  0
 1  0    512 372156  31528 431976    0    0     0     0 2742  568  8 17 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 372156  31536 431968    0    0     0    52 2820  718 10 16 74  0  0
 1  0    512 372156  31536 431968    0    0     0     0 2957  899  9 17 74  0  0
 1  0    512 372164  31536 431968    0    0     0     0 2956  895 10 16 73  0  0
 1  0    512 372164  31536 431968    0    0     0     0 2837  708 10 16 74  0  0
 1  0    512 372164  31536 431968    0    0     0     0 3029 1027 10 16 74  0  0
 1  0    512 372164  31536 431968    0    0     0     0 2880  783 10 16 74  0  0
 1  0    512 372164  31544 431964    0    0     0    12 2728  535 11 15 74  0  0
 1  0    512 372164  31544 431964    0    0     0     0 2965  889 10 17 73  0  0
 1  0    512 372164  31544 431964    0    0     0     0 2771  623  8 17 75  0  0
 1  0    512 372164  31544 431964    0    0     0     0 2809  664  9 17 74  0  0
 1  0    512 372164  31544 431964    0    0     0     0 2696  439 10 16 75  0  0
 1  0    512 372164  31544 431964    0    0     0     0 2770  606 10 16 75  0  0
 1  0    512 372164  31552 431988    0    0     0    12 2935  839 10 17 73  0  0
 1  0    512 372164  31552 431988    0    0     0     0 2695  453  9 16 75  0  0
 1  0    512 372164  31552 431988    0    0     0     0 2671  413  9 17 75  0  0
 1  0    512 372164  31552 431988    0    0     0     0 2675  438 11 14 75  0  0
 1  0    512 372164  31552 431988    0    0     0     0 2731  534  8 17 74  0  0
 1  0    512 372164  31560 431980    0    0     0    12 2957  917 12 15 73  0  0
 1  0    512 372164  31560 431980    0    0     0     0 2748  572  8 18 74  0  0
 1  0    512 372164  31560 431980    0    0     0     0 2704  496  9 16 74  0  0
 1  0    512 372164  31560 431980    0    0     0     0 2697  473  8 18 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 372164  31560 431980    0    0     0     8 2817  682 10 16 74  0  0
 1  0    512 372164  31560 431988    0    0     0     0 2849  717  9 18 73  0  0
 1  0    512 372164  31568 431988    0    0     0    20 2591  295 11 15 74  0  0
 1  0    512 372164  31568 431988    0    0     0     0 2658  399 10 15 75  0  0
 1  0    512 372164  31568 431988    0    0     0     0 2604  316 10 16 74  0  0
 1  0    512 372164  31568 431988    0    0     0     0 2636  350  9 17 74  0  0
 1  0    512 372164  31568 431988    0    0     0     0 2624  335  9 17 74  0  0
 2  0    512 372164  31568 431988    0    0     0     0 2746  548 10 15 74  0  0
 1  0    512 372164  31576 431980    0    0     0    12 2925  863 10 17 73  0  0
 1  0    512 372164  31576 431980    0    0     0     0 2928  826  9 18 73  0  0
 1  0    512 372164  31576 431980    0    0     0     0 3027 1039  9 19 73  0  0
 1  0    512 372164  31576 431980    0    0     0     0 2907  804 13 14 73  0  0
 1  0    512 372164  31576 431980    0    0     0     0 2713  501 12 14 74  0  0
 1  0    512 372164  31576 431980    0    0     0     0 2938  855 11 17 73  0  0
 1  0    512 372164  31584 431972    0    0     0    12 2751  540 11 16 74  0  0
 1  0    512 372164  31584 431984    0    0     0     8 2810  676  9 17 74  0  0
 1  0    512 372164  31584 431984    0    0     0     0 2979  943 11 17 73  0  0
 1  0    512 372164  31584 431984    0    0     0     0 2867  767  9 17 74  0  0
 1  0    512 372164  31584 431984    0    0     0     0 2963  912 12 16 72  0  0
 1  0    512 372164  31592 431988    0    0     0    12 2858  750 12 14 74  0  0
 1  0    512 372164  31592 431988    0    0     0     0 2960  872 10 17 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
